pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,raterecovered
35,Ontario,Ontario,3/29/2020,,1355,0,19,1355,52002,0,8,0.59,3529,,362,36.46,9.2,0.13,1,1.4,6166,0,0,98.01,1328,9.01,1252,8.5,18,0.12,930,6.31,14,0.1,133,0.9,2,0.01,0
24,Quebec,QuÃ©bec,3/29/2020,,2840,0,22,2840,52204,47780,29,1.02,6088,5572,342,13.69,33.12,0.26,0,0.77,6117,6394,0,98.2,2789,32.53,2816,32.84,22,0.26,2619,30.54,18,0.21,374,4.36,3,0.03,0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/29/2020,,135,0,0,135,2107,3100,4,2.96,4036,5938,15,12.5,25.86,0,0,0,200,316,0,97.04,131,25.09,134,25.67,0,0,126,24.13,0,0,18,3.45,0,0,0
13,New Brunswick,Nouveau-Brunswick,3/29/2020,,66,0,0,66,2847,2930,2,3.03,3643,3749,15,29.41,8.45,0,0,0,335,382,0,96.97,64,8.19,64,8.19,0,0,49,6.27,0,0,7,0.9,0,0,0
12,Nova Scotia,Nouvelle-Ã‰cosse,3/29/2020,,122,0,0,122,4984,4404,4,3.28,5089,4497,12,10.91,12.46,0,0,0,497,611,0,96.72,118,12.05,122,12.46,0,0,94,9.6,0,0,13,1.37,0,0,0
11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/29/2020,,11,0,0,11,477,458,1,9.09,2988,2869,0,0,6.89,0,0,0,55,69,0,90.91,10,6.26,10,6.26,0,0,8,5.01,0,0,1,0.72,0,0,0
60,Yukon,Yukon,3/29/2020,,4,0,0,4,678,502,,,16123,11938,0,0,9.51,0,0,0,37,53,,100,4,9.51,4,9.51,0,0,4,9.51,0,0,1,1.36,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,3/29/2020,,1,0,0,1,740,697,,,16386,15434,0,0,2.21,0,0,0,0,140,,100,1,2.21,1,2.21,0,0,0,0,0,0,0,0,0,0,0
62,Nunavut,Nunavut,3/29/2020,,0,0,0,0,125,79,,,3176,2007,0,0,0,0,0,,0,9,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriÃ©s,3/29/2020,,13,0,0,13,76,48,,,,,0,0,,,0,0,0,0,,100,13,,9,,0,,0,,0,,0,,0,,
1,Canada,Canada,3/29/2020,,6255,3,61,6258,210511,152595,522,8.34,5539,4015,833,15.35,16.47,0.16,2,0.97,22987,15442,20,90.68,5675,14.93,6005,15.8,59,0.16,4787,12.6,41,0.11,684,1.8,6,0.02,0.05
59,British Columbia,Colombie-Britannique,3/30/2020,,960,0,19,960,34969,39115,469,48.85,6793,7599,76,8.6,18.65,0.37,2,1.98,1493,1783,73,49.17,472,9.17,887,17.23,15,0.29,488,9.48,6,0.12,70,1.35,1,0.02,1.42
48,Alberta,Alberta,3/30/2020,,690,0,8,690,46057,43168,94,13.62,10416,9762,69,11.11,15.6,0.18,6,1.16,1960,2145,21,85.22,588,13.3,634,14.34,8,0.18,389,8.8,7,0.16,56,1.26,1,0.02,0.47
47,Saskatchewan,Saskatchewan,3/30/2020,,175,0,2,175,9372,8170,14,8,7951,6931,41,30.6,14.85,0.17,2,1.14,550,838,10,90.86,159,13.49,169,14.34,2,0.17,109,9.25,2,0.17,16,1.32,0,0.02,0.85
46,Manitoba,Manitoba,3/30/2020,,83,13,1,96,8326,7119,2,2.08,6037,5161,24,33.33,6.96,0.07,0,1.04,450,209,1,96.88,93,6.74,89,6.45,1,0.07,76,5.51,1,0.07,11,0.79,0,0.01,0.07
35,Ontario,Ontario,3/30/2020,,1706,0,33,1706,54112,0,431,25.26,3673,,351,25.9,11.58,0.22,14,1.93,2110,0,423,72.8,1242,8.43,1561,10.59,32,0.22,1203,8.16,27,0.18,172,1.17,4,0.03,2.87
24,Quebec,QuÃ©bec,3/30/2020,,3430,0,25,3430,59715,53744,29,0.85,6964,6268,590,20.77,40,0.29,3,0.73,7511,5964,0,98.43,3376,39.37,3391,39.55,25,0.29,2802,32.68,21,0.24,400,4.67,3,0.03,0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/30/2020,,148,0,1,148,2332,3333,7,4.73,4467,6384,13,9.63,28.35,0.19,1,0.68,225,233,3,94.59,140,26.81,147,28.16,1,0.19,124,23.75,1,0.19,18,3.39,0,0.03,0.57
13,New Brunswick,Nouveau-Brunswick,3/30/2020,,68,0,0,68,3267,3219,2,2.94,4181,4119,2,3.03,8.7,0,0,0,420,289,0,97.06,66,8.45,62,7.93,0,0,51,6.53,0,0,7,0.93,0,0,0
12,Nova Scotia,Nouvelle-Ã‰cosse,3/30/2020,,127,0,0,127,5492,4938,10,7.87,5608,5042,5,4.1,12.97,0,0,0,508,534,6,92.13,117,11.95,124,12.66,0,0,86,8.78,0,0,12,1.25,0,0,0.61
11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/30/2020,,18,0,0,18,477,458,1,5.56,2988,2869,7,63.64,11.28,0,0,0,0,0,0,94.44,17,10.65,17,10.65,0,0,15,9.4,0,0,2,1.34,0,0,0
60,Yukon,Yukon,3/30/2020,,5,0,0,5,688,541,,,16361,12865,1,25,11.89,0,0,0,10,39,,100,5,11.89,5,11.89,0,0,3,7.13,0,0,0,1.02,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,3/30/2020,,1,0,0,1,740,769,,,16386,17028,0,0,2.21,0,0,0,0,72,,100,1,2.21,1,2.21,0,0,0,0,0,0,0,0,0,0,0
62,Nunavut,Nunavut,3/30/2020,,0,0,0,0,158,96,,,4015,2439,0,0,0,0,0,,33,17,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriÃ©s,3/30/2020,,13,0,0,13,76,48,9,69.23,,,0,0,,,0,0,0,0,9,30.77,4,,9,,0,,0,,0,,0,,0,,
1,Canada,Canada,3/30/2020,,7424,13,89,7437,225781,164718,1068,14.36,5941,4334,1179,18.84,19.57,0.23,28,1.2,15270,12123,546,84.44,6280,16.52,7096,18.67,84,0.22,5346,14.07,65,0.17,764,2.01,9,0.02,1.44
59,British Columbia,Colombie-Britannique,3/31/2020,,970,0,19,970,36024,40710,507,52.27,6998,7908,10,1.04,18.84,0.37,0,1.96,1055,1595,38,45.77,444,8.63,867,16.84,12,0.23,353,6.86,6,0.12,50,0.98,1,0.02,0.74
48,Alberta,Alberta,3/31/2020,,754,0,9,754,48692,45097,120,15.92,11012,10199,64,9.28,17.05,0.2,1,1.19,2635,1929,26,82.89,625,14.13,680,15.38,9,0.2,396,8.96,7,0.16,57,1.28,1,0.02,0.59
47,Saskatchewan,Saskatchewan,3/31/2020,,184,0,2,184,9372,8735,21,11.41,7951,7411,9,5.14,15.61,0.17,0,1.09,0,565,7,87.5,161,13.66,177,15.02,2,0.17,112,9.5,2,0.17,16,1.36,0,0.02,0.59
46,Manitoba,Manitoba,3/31/2020,,91,12,1,103,8629,8326,4,3.88,6256,6037,7,7.29,7.47,0.07,0,0.97,303,1207,2,95.15,98,7.11,96,6.96,1,0.07,82,5.95,1,0.07,12,0.85,0,0.01,0.15
35,Ontario,Ontario,3/31/2020,,1966,0,33,1966,55909,0,534,27.16,3795,,260,15.24,13.34,0.22,0,1.68,1797,0,103,71.16,1399,9.5,1789,12.14,32,0.22,1378,9.35,25,0.17,197,1.34,4,0.02,0.7
24,Quebec,QuÃ©bec,3/31/2020,,4162,0,31,4162,67540,61057,29,0.7,7877,7121,732,21.34,48.54,0.36,6,0.74,7825,7313,0,98.56,4102,47.84,4112,47.96,31,0.36,3149,36.72,27,0.31,450,5.25,4,0.04,0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/31/2020,,152,0,1,152,2500,3622,7,4.61,4788,6937,4,2.7,29.11,0.19,0,0.66,168,289,0,94.74,144,27.58,151,28.92,1,0.19,117,22.41,1,0.19,17,3.2,0,0.03,0
13,New Brunswick,Nouveau-Brunswick,3/31/2020,,70,0,0,70,3630,3514,9,12.86,4645,4497,2,2.94,8.96,0,0,0,363,295,7,87.14,61,7.81,63,8.06,0,0,52,6.65,0,0,7,0.95,0,0,0.9
12,Nova Scotia,Nouvelle-Ã‰cosse,3/31/2020,,147,0,0,147,6614,5261,10,6.8,6753,5372,20,15.75,15.01,0,0,0,1122,323,0,93.2,137,13.99,142,14.5,0,0,96,9.8,0,0,14,1.4,0,0,0
11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/31/2020,,21,0,0,21,551,513,1,4.76,3452,3214,3,16.67,13.16,0,0,0,74,55,0,95.24,20,12.53,20,12.53,0,0,18,11.28,0,0,3,1.61,0,0,0
60,Yukon,Yukon,3/31/2020,,5,0,0,5,702,541,,,16694,12865,0,0,11.89,0,0,0,14,0,,100,5,11.89,5,11.89,0,0,3,7.13,0,0,0,1.02,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,3/31/2020,,1,0,0,1,808,798,,,17892,17670,0,0,2.21,0,0,0,68,29,,100,1,2.21,1,2.21,0,0,0,0,0,0,0,0,0,0,0
62,Nunavut,Nunavut,3/31/2020,,0,0,0,0,167,96,,,4244,2439,0,0,0,0,0,,9,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
